step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
186,PAYMENT,4.9,C1381665628,96062.26,96057.36,M1614509310,0.0,0.0,0,0
198,TRANSFER,2634032.61,C742596177,2634032.61,0.0,C1639263930,0.0,0.0,1,0
189,PAYMENT,4640.44,C349939670,31844.0,27203.56,M1751570991,0.0,0.0,0,0
255,CASH_OUT,229110.92,C1483105591,19919.0,0.0,C532804043,0.0,229110.92,0,0
354,CASH_IN,253129.93,C2017736577,1328499.49,1581629.42,C407484102,2713220.48,2460090.55,0,0
594,CASH_IN,355077.74,C1007415518,0.0,355077.74,C686904438,3149408.32,2794330.58,0,0
449,TRANSFER,231894.75,C978611121,25644.0,0.0,C1265325259,202654.11,434548.86,0,0
305,CASH_OUT,258953.67,C1558605799,3617.29,0.0,C1732043491,509480.49,768434.16,0,0
274,CASH_OUT,70753.9,C1421336308,70753.9,0.0,C1662149928,0.0,70753.9,1,0
202,CASH_IN,141892.33,C1200707677,40242.0,182134.33,C2111438828,0.0,0.0,0,0
536,CASH_OUT,285382.07,C2026773227,285382.07,0.0,C1098688796,0.0,285382.07,1,0
261,CASH_OUT,105677.03,C1479566261,0.0,0.0,C352206686,2456909.13,2562586.16,0,0
16,CASH_OUT,13382.68,C1036520392,0.0,0.0,C1944693763,473907.47,604567.47,0,0
527,CASH_OUT,1094419.89,C171594186,1094419.89,0.0,C31581400,6352690.24,7447110.13,1,0
302,PAYMENT,21013.18,C749713553,0.0,0.0,M391493109,0.0,0.0,0,0
352,PAYMENT,17647.97,C1279016779,0.0,0.0,M2025094125,0.0,0.0,0,0
661,CASH_OUT,96014.77,C683099124,0.0,0.0,C248479470,1088735.94,1184750.71,0,0
524,CASH_OUT,356224.26,C1424948489,356224.26,0.0,C414953640,0.0,356224.26,1,0
226,CASH_OUT,394788.96,C529683703,46109.0,0.0,C1995685086,878562.21,1273351.17,0,0
15,CASH_OUT,10980.99,C1048331953,16032.0,5051.01,C2093777729,346728.3,416843.68,0,0
302,CASH_IN,247691.45,C980217286,29845.38,277536.84,C1096241484,603773.04,356081.59,0,0
136,CASH_IN,48255.07,C1499351231,115997.0,164252.07,C1917096968,106891.0,0.0,0,0
236,CASH_OUT,6380.8,C622064753,53642.0,47261.2,C853359906,560372.09,566752.89,0,0
