step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
324,CASH_IN,399281.73,C8205977775,1576350.78,1975632.51,C1531976485,795335.53,396053.8,0,0
331,PAYMENT,20878.92,C2617730948,155676.7,134797.78,M7134405176,0.0,0.0,0,0
307,CASH_IN,64855.44,C3047141643,2344348.98,2409204.42,C2941867037,2816675.25,2751819.81,0,0
615,PAYMENT,20681.5,C6181807776,141033.08,120351.58,M2754550121,0.0,0.0,0,0
632,PAYMENT,4042.64,C5565505736,87343.48,83300.84,M0922498028,0.0,0.0,0,0
50,CASH_OUT,372861.48,C1557964448,11356.04,0.0,C7764719591,1366161.01,1739022.49,0,0
507,CASH_OUT,14346.8,C6903139394,484588.19,470241.39,C6277472004,646971.93,661318.73,0,0
666,CASH_OUT,64151.26,C4807476436,0.0,0.0,C6074701413,355038.75,419190.01,0,0
226,PAYMENT,3753.04,C9436520194,156547.05,152794.01,M4002464491,0.0,0.0,0,0
425,PAYMENT,2116.71,C5584203808,28049.82,25933.11,M3531661226,0.0,0.0,0,0
242,CASH_IN,89833.98,C1922015533,2828880.15,2918714.13,C8932962659,3276152.5,3186318.52,0,0
194,CASH_OUT,27007.86,C9918078828,27007.86,0.0,C1543073643,0.0,27007.86,1,0
11,CASH_IN,36517.97,C9010881713,3060967.14,3097485.11,C5012397394,503641.26,467123.29,0,0
373,CASH_OUT,163913.68,C0691259675,163913.68,0.0,C4188070781,0.0,163913.68,1,0
718,TRANSFER,1920333.37,C3563952994,1920333.37,0.0,C0551681717,0.0,0.0,1,0
313,TRANSFER,129233.54,C7844678061,129233.54,0.0,C2827423576,0.0,0.0,1,0
219,TRANSFER,124870.99,C4169824522,124870.99,0.0,C2978891804,0.0,0.0,1,0
441,CASH_OUT,37458.13,C9199511251,10574.01,0.0,C1180455683,1538352.4,1575810.53,0,0
399,TRANSFER,387915.46,C0226594200,0.0,0.0,C3810810496,6764242.12,7152157.58,0,0
80,TRANSFER,225122.16,C5766677185,0.0,0.0,C9884736622,1204170.45,1429292.61,0,0
449,PAYMENT,797.46,C2537343162,189771.59,188974.13,M2698473459,0.0,0.0,0,0
627,PAYMENT,4257.79,C7602170256,172143.81,167886.02,M9196606750,0.0,0.0,0,0
708,TRANSFER,210326.5,C9454797990,210326.5,0.0,C2750056111,0.0,0.0,1,0
420,PAYMENT,9601.78,C7797542519,23946.72,14344.94,M7170467497,0.0,0.0,0,0
546,PAYMENT,8734.45,C8627353319,187225.49,178491.04,M1547317159,0.0,0.0,0,0
691,CASH_IN,152486.42,C6907894128,2229758.59,2382245.01,C1145065004,2888898.29,2736411.87,0,0
238,CASH_OUT,264421.15,C4597751390,418448.29,154027.14,C8690616606,760442.77,1024863.92,0,0
662,CASH_OUT,445575.4,C0926900010,0.0,0.0,C9228206899,2109456.31,2555031.71,0,0
341,CASH_IN,612505.59,C2560841870,947655.63,1560161.22,C1075976500,148226.93,0.0,0,0
457,TRANSFER,1723285.58,C3071395457,0.0,0.0,C8541295345,5628229.96,7351515.54,0,0
123,PAYMENT,5326.15,C1649411919,60940.92,55614.77,M2647646941,0.0,0.0,0,0
306,CASH_OUT,31324.38,C9024441205,0.0,0.0,C5656632735,1896736.82,1928061.2,0,0
598,CASH_OUT,164123.84,C7198575272,0.0,0.0,C3010088800,560333.61,724457.45,0,0
212,CASH_OUT,91418.85,C4878437126,182459.68,181632.13,C4743761773,81646.55,173065.4,0,0
348,CASH_OUT,56382.39,C1489995288,224122.81,167740.42,C9308704449,2725955.69,2782338.08,0,0
117,CASH_OUT,346740.61,C1495740022,346740.61,0.0,C8886564677,0.0,346740.61,1,0
651,CASH_OUT,245363.95,C3345768354,0.0,0.0,C9335485510,0.0,245363.95,0,0
298,PAYMENT,21502.04,C3120696443,119695.44,98193.4,M5042175679,0.0,0.0,0,0
726,PAYMENT,10401.0,C7572967480,146482.7,136081.7,M1846596491,0.0,0.0,0,0
726,CASH_OUT,15063.41,C2057948984,0.0,0.0,C0760255829,159063.65,174127.06,0,0
277,CASH_OUT,199850.18,C1776708773,199850.18,0.0,C8309216284,2047997.83,2247848.01,1,0
11,CASH_OUT,82375.5,C6622485378,295160.13,212784.63,C1258816063,2431923.24,2514298.74,0,0
573,DEBIT,1321.67,C4151987750,9195.34,7873.67,M3243113003,0.0,0.0,0,0
155,CASH_OUT,184614.89,C8344899755,448498.4,263883.51,C5389359725,933180.71,1117795.6,0,0
137,CASH_OUT,3787303.56,C1052757648,0.0,0.0,C4286927411,1976120.27,5763423.83,0,0
418,TRANSFER,312593.71,C1099712002,312593.71,0.0,C5094257300,0.0,0.0,1,0
575,CASH_OUT,38021.62,C0429343241,431382.28,393360.66,C0152403445,818028.2,856049.82,0,0
577,CASH_OUT,18630.43,C8632732940,18630.43,0.0,C4487116031,77316.36,95946.79,1,0
120,CASH_OUT,6661.45,C1420525684,6661.45,0.0,C0285641879,0.0,6661.45,1,0
632,TRANSFER,8787937.52,C9903781357,8787937.52,0.0,C1622546380,0.0,0.0,1,0
287,CASH_OUT,67575.6,C0678737831,0.0,0.0,C8716601751,98910.42,166486.02,0,0
731,TRANSFER,454357.43,C5808451612,454357.43,0.0,C7045123698,0.0,0.0,1,0
122,CASH_OUT,590305.09,C2826615537,0.0,0.0,C6277914959,1584678.7,2174983.79,0,0
17,PAYMENT,9694.29,C6316413921,39908.4,30214.11,M9899223487,0.0,0.0,0,0
309,TRANSFER,2611490.34,C5675795417,2611490.34,0.0,C9688750024,0.0,0.0,1,0
550,CASH_OUT,152014.8,C8798636336,0.0,0.0,C0659540133,436770.64,588785.44,0,0
42,CASH_OUT,360844.28,C3721047583,92883.07,0.0,C2044210040,1511744.34,1872588.62,0,0
708,CASH_OUT,106965.91,C3738791969,106965.91,0.0,C3950419325,0.0,106965.91,1,0
301,CASH_IN,98705.83,C5024118355,1036115.02,1134820.85,C7838417070,3295386.0,3196680.17,0,0
158,CASH_OUT,25171.0,C3218616404,355122.6,329951.6,C5873557232,2823056.08,2848227.08,0,0
247,TRANSFER,6897586.53,C5453584313,96406.15,0.0,C1891135921,337431.17,7235017.7,0,0
192,CASH_OUT,487652.17,C9604945561,0.0,0.0,C8734818963,1060090.85,1547743.02,0,0
47,CASH_IN,229973.91,C7822954267,3476789.74,3706763.65,C0228034714,2212989.85,1983015.94,0,0
119,PAYMENT,1643.83,C4774366504,190012.22,188368.39,M5351069850,0.0,0.0,0,0
552,PAYMENT,14408.38,C7457613397,147702.14,133293.76,M3348517557,0.0,0.0,0,0
670,PAYMENT,2370.49,C6444218036,131103.55,128733.06,M7630838117,0.0,0.0,0,0
674,TRANSFER,482076.42,C6827122269,482076.42,0.0,C9729557795,0.0,0.0,1,0
453,CASH_OUT,606450.0,C7953465054,0.0,0.0,C3419883385,1914997.38,2521447.38,0,0
302,CASH_OUT,304477.09,C9389907972,304477.09,0.0,C7146462666,0.0,304477.09,1,0
219,PAYMENT,45492.73,C6828513003,159502.17,114009.44,M1821676113,0.0,0.0,0,0
698,DEBIT,991.92,C1296091572,8906.07,7914.15,M2264178511,0.0,0.0,0,0
317,PAYMENT,18647.92,C7609090510,145568.66,126920.74,M1933241420,0.0,0.0,0,0
244,PAYMENT,1014.95,C7989433277,98251.49,97236.54,M8282158903,0.0,0.0,0,0
120,PAYMENT,11698.24,C2004870036,164625.46,152927.22,M3101082855,0.0,0.0,0,0
317,CASH_IN,572533.48,C3523725577,1287665.19,1860198.67,C4426267917,617019.78,44486.3,0,0
70,CASH_OUT,186307.51,C6981961493,0.0,0.0,C4162469227,1675180.87,1861488.38,0,0
346,CASH_IN,103395.64,C0963462242,2893140.2,2996535.84,C7351372151,1974332.98,1870937.34,0,0
237,PAYMENT,6269.47,C0258767188,93991.19,87721.72,M8489403245,0.0,0.0,0,0
27,CASH_OUT,33966.35,C2421451016,180379.34,146412.99,C8533296428,0.0,33966.35,0,0
656,CASH_OUT,12117.06,C4641189718,12117.06,0.0,C6519402403,1751739.83,1763856.89,1,0
592,CASH_IN,44188.52,C9542993837,448184.14,492372.66,C5632191780,1255354.77,1211166.25,0,0
438,PAYMENT,6973.29,C3989737324,113586.85,106613.56,M3426353393,0.0,0.0,0,0
231,CASH_OUT,569257.99,C1938275775,569257.99,0.0,C2589915169,1207829.97,1777087.96,1,0
46,TRANSFER,462294.06,C6096950037,462294.06,0.0,C1824244057,0.0,0.0,1,0
729,CASH_OUT,447822.06,C3026147142,0.0,0.0,C5819598531,1471202.48,1919024.54,0,0
81,PAYMENT,1651.17,C9493141187,167543.37,165892.2,M0273780095,0.0,0.0,0,0
431,PAYMENT,2977.87,C1137610549,42865.28,39887.41,M5415143105,0.0,0.0,0,0
699,PAYMENT,78738.21,C2056988634,86215.27,7477.06,M3025394960,0.0,0.0,0,0
389,CASH_IN,115960.65,C9397891200,545151.85,661112.5,C8750985737,220910.1,104949.45,0,0
332,TRANSFER,257282.99,C5219106817,257282.99,0.0,C5819683961,0.0,0.0,1,0
291,CASH_IN,203762.59,C5294774448,1265596.6,1469359.19,C3131070577,3257395.71,3053633.12,0,0
333,PAYMENT,11888.05,C8229823569,195438.55,183550.5,M0250319011,0.0,0.0,0,0
198,PAYMENT,6285.13,C5725886686,69580.16,63295.03,M9104244698,0.0,0.0,0,0
284,CASH_IN,225840.72,C6316161482,2526673.73,2752514.45,C9179718154,1818423.59,1592582.87,0,0
210,PAYMENT,1175.59,C9549490752,127521.8,126346.21,M2605904482,0.0,0.0,0,0
355,CASH_OUT,125346.22,C7794461876,331264.8,205918.58,C9973546835,1406142.92,1531489.14,0,0
263,CASH_OUT,676243.63,C1361728725,0.0,0.0,C1213235187,566782.68,1243026.31,0,0
563,CASH_OUT,227035.06,C3223317587,240561.55,13526.49,C5718244822,570248.95,797284.01,0,0
532,PAYMENT,5999.75,C2131231047,73854.57,67854.82,M3925709346,0.0,0.0,0,0
477,TRANSFER,317927.4,C8957347070,0.0,0.0,C4444457568,958391.12,1276318.52,0,0
58,CASH_OUT,40477.95,C8681813147,0.0,0.0,C2956221217,0.0,40477.95,0,0
50,PAYMENT,2717.44,C6171289299,28011.08,25293.64,M2698429239,0.0,0.0,0,0
727,CASH_OUT,149854.43,C4776753788,285583.68,11036.18,C2228578701,1146052.46,1295906.89,0,0
296,CASH_OUT,77568.29,C4478567619,77568.29,0.0,C1464290297,338474.59,416042.88,1,0
134,PAYMENT,39955.15,C1221729586,54826.88,14871.73,M2122109549,0.0,0.0,0,0
172,TRANSFER,147956.98,C0176471239,147956.98,0.0,C6828025088,0.0,0.0,1,0
400,CASH_OUT,141442.85,C7171917940,0.0,0.0,C8081762419,1540566.92,1682009.77,0,0
181,PAYMENT,2486.0,C9972772625,37706.05,35220.05,M3749078919,0.0,0.0,0,0
489,CASH_OUT,740590.01,C4205468025,489989.27,0.0,C7732723262,122129.98,862719.99,0,0
488,CASH_OUT,69298.88,C6440438870,472574.14,403275.26,C3752582778,1617313.63,1686612.51,0,0
588,CASH_IN,186084.96,C2394716379,1666468.37,1852553.33,C5140632088,1223472.64,1037387.68,0,0
600,PAYMENT,1615.21,C1969838122,18000.28,16385.07,M1130090001,0.0,0.0,0,0
70,CASH_IN,156665.41,C7483645974,1211223.38,1367888.79,C4140147724,862232.85,705567.44,0,0
120,CASH_IN,302062.4,C6880872372,2411155.08,2713217.48,C6912952235,2176517.11,1874454.71,0,0
683,PAYMENT,1294.43,C1665660740,17342.3,16047.87,M4923487728,0.0,0.0,0,0
613,PAYMENT,1101.57,C5406799495,120399.39,119297.82,M9710456459,0.0,0.0,0,0
714,PAYMENT,737.05,C9514210506,153848.52,153111.47,M4577025911,0.0,0.0,0,0
694,CASH_OUT,265443.96,C3634271229,378046.57,112602.61,C3982723262,2980891.44,3246335.4,0,0
256,TRANSFER,1367464.31,C6323568239,1367464.31,0.0,C4294999579,0.0,0.0,1,0
204,CASH_OUT,319899.87,C1556446783,63612.98,0.0,C5894021795,983266.3,1303166.17,0,0
659,CASH_OUT,363594.26,C2009580081,0.0,0.0,C1643048681,2716517.36,3080111.62,0,0
16,PAYMENT,20695.65,C8617159984,60054.38,39358.73,M9473727013,0.0,0.0,0,0
245,CASH_IN,198656.73,C4266758270,1662578.55,1861235.28,C1666210825,1448756.12,1250099.39,0,0
340,CASH_OUT,67725.7,C4269503959,381509.65,345610.44,C2915700806,1280898.15,1348623.85,0,0
491,PAYMENT,1447.34,C7771854755,193891.72,192444.38,M3170391327,0.0,0.0,0,0
346,TRANSFER,62751.64,C9863187256,51578.8,0.0,C0669514066,2783913.99,2846665.63,0,0
558,CASH_OUT,202633.33,C7530875380,0.0,0.0,C4113864212,189748.89,392382.22,0,0
119,CASH_OUT,80278.7,C6455224066,80278.7,0.0,C3336714042,0.0,80278.7,1,0
12,PAYMENT,4522.13,C3251065738,20057.48,15535.35,M4078930962,0.0,0.0,0,0
565,CASH_OUT,127718.3,C2999703495,168142.92,2729.04,C0418530419,436217.87,563936.17,0,0
727,CASH_OUT,139318.65,C2005409759,252272.62,112953.97,C9141248833,0.0,139318.65,0,0
395,CASH_OUT,84054.12,C4352764156,177608.92,93554.8,C3744631805,2705269.27,2789323.39,0,0
420,CASH_OUT,708396.69,C4926731289,708396.69,0.0,C9261747694,0.0,708396.69,1,0
257,PAYMENT,5033.68,C4630096220,21649.89,16616.21,M7232803221,0.0,0.0,0,0
723,CASH_OUT,41326.33,C3306022275,0.0,0.0,C9759307077,0.0,41326.33,0,0
624,PAYMENT,18391.23,C7309409947,18654.18,262.95,M2610677786,0.0,0.0,0,0
556,TRANSFER,788367.95,C2806442938,788367.95,0.0,C4081288947,0.0,0.0,1,0
247,PAYMENT,6970.32,C3501736554,164782.47,157812.15,M9269074958,0.0,0.0,0,0
415,CASH_OUT,224168.99,C1353219913,0.0,0.0,C5351800552,400098.23,624267.22,0,0
196,TRANSFER,1070668.59,C2315374441,0.0,0.0,C7974382479,793299.12,1863967.71,0,0
486,CASH_OUT,62244.41,C9336474315,352636.2,290391.79,C8501613564,0.0,62244.41,0,0
76,CASH_IN,132826.93,C8393854280,1291074.33,1423901.26,C5263116236,1358538.42,1225711.49,0,0
736,CASH_OUT,163961.99,C7252925199,214549.44,50587.45,C7598400450,1547647.14,1711609.13,0,0
100,CASH_IN,165878.34,C9647585800,1946666.04,2112544.38,C7218764401,1186582.69,1020704.35,0,0
